step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
180,TRANSFER,112001.24,C605196410,348425.27,236424.03,C574840200,125472.82,237474.06,0,0
94,PAYMENT,983.05,C604669821,2461.1,1478.05,M457887167,0.0,0.0,0,0
165,TRANSFER,15799.25,C454123990,59086.3,43287.05,C632005813,116432.35,132231.6,0,0
323,PAYMENT,1309.52,C371011200,11167.99,9858.47,M929517022,0.0,0.0,0,0
2,CASH_IN,16044.57,C806157458,47708.05,63752.62,C596043327,184080.78,168036.21,0,0
511,TRANSFER,10742.06,C771527524,38607.93,27865.87,C155417727,176071.26,186813.32,0,0
125,DEBIT,9661.07,C130998324,47736.86,38075.79,C753770973,16916.01,26577.08,0,0
15,TRANSFER,219244.28,C692975437,319378.66,100134.38,C341270488,208875.08,428119.36,0,0
511,PAYMENT,813.53,C869446962,12430.06,11616.53,M857429971,0.0,0.0,0,0
484,TRANSFER,22272.64,C361704064,107675.95,85403.31,C255308128,216686.6,238959.24,0,0
283,CASH_OUT,12559.79,C929653607,26292.32,13732.53,C545541033,10743.93,23303.72,0,0
602,DEBIT,12051.48,C722687986,40275.92,28224.44,C625747313,25248.39,37299.87,0,0
341,CASH_OUT,18328.06,C692616814,30745.19,12417.13,C505026213,212274.54,230602.6,0,0
240,TRANSFER,61940.13,C932734539,149066.43,87126.3,C441639230,167603.76,229543.89,0,0
668,TRANSFER,6573.05,C263321843,12154.43,5581.38,C139749508,212034.66,218607.71,0,0
103,CASH_IN,38501.96,C664735673,103084.68,141586.64,C116479358,329116.76,290614.8,0,0
159,TRANSFER,19100.2,C180346223,93742.95,74642.75,C384566044,213823.63,232923.83,0,0
547,CASH_IN,38101.87,C508031980,190091.05,228192.92,C773020489,436829.59,398727.72,0,0
37,PAYMENT,2898.2,C762992051,13083.73,10185.53,M777703980,0.0,0.0,0,0
233,PAYMENT,3586.64,C901834280,34664.32,31077.68,M205702499,0.0,0.0,0,0
103,PAYMENT,5858.56,C576396216,7934.54,2075.98,M421549249,0.0,0.0,0,0
58,TRANSFER,7579.42,C415001254,49532.78,41953.36,C562446417,46645.99,54225.41,0,0
81,CASH_IN,34528.34,C754436820,124919.15,159447.49,C765408938,293662.78,259134.44,0,0
238,CASH_OUT,8944.29,C595155950,8944.29,0.0,C593460064,243343.59,252287.88,0,0
694,PAYMENT,7276.79,C686905284,91253.35,83976.56,M574303740,0.0,0.0,0,0
307,CASH_IN,8684.39,C786055206,211480.68,220165.07,C841218491,103612.41,94928.02,0,0
394,TRANSFER,618491.06,C618840705,887729.18,269238.12,C214518079,15466.31,633957.37,1,1
282,TRANSFER,68291.72,C108695125,245054.41,176762.69,C836371599,209045.53,277337.25,0,0
294,CASH_OUT,48674.34,C932945529,75613.35,26939.01,C751831074,0.0,48674.34,0,0
644,CASH_IN,1256.62,C204328975,197364.01,198620.63,C794002948,21515.44,20258.82,0,0
