step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
450,CASH_OUT,9521.0,C901614065,26245.95,16724.95,C720619908,179059.21,188580.21,0,0
578,CASH_IN,11393.05,C841846645,40880.09,52273.14,C953609805,61073.42,49680.37,0,0
272,DEBIT,2949.22,C688510311,11049.44,8100.22,C925323169,34855.01,37804.23,0,0
597,PAYMENT,1500.19,C372188442,1496.05,0.0,M490979961,0.0,0.0,0,0
233,PAYMENT,327.85,C838457930,5155.27,4827.42,M675631304,0.0,0.0,0,0
462,PAYMENT,3078.16,C454390050,31406.69,28328.53,M457429505,0.0,0.0,0,0
680,CASH_OUT,6493.33,C715024016,18238.46,11745.13,C421458534,117401.03,123894.36,0,0
187,CASH_OUT,114006.3,C565255379,343038.07,229031.77,C766408934,57142.05,171148.35,0,0
448,CASH_OUT,19964.67,C431110618,53254.08,33289.41,C380783458,124459.5,144424.17,0,0
626,PAYMENT,874.94,C741676450,3399.89,2524.95,M707919861,0.0,0.0,0,0
617,TRANSFER,72839.48,C784183859,230603.06,157763.58,C609069499,50691.13,123530.61,0,0
168,PAYMENT,3474.02,C523696434,6312.82,2838.8,M745168019,0.0,0.0,0,0
414,CASH_IN,5778.08,C896173117,171892.1,177670.18,C407704072,266142.5,260364.42,0,0
81,CASH_IN,37015.05,C542930712,70432.01,107447.06,C346728243,454338.79,417323.74,0,0
319,PAYMENT,4466.12,C500513243,38291.24,33825.12,M418389598,0.0,0.0,0,0
135,CASH_OUT,13759.83,C784595481,38506.83,24747.0,C406764122,229734.89,243494.72,0,0
82,CASH_IN,1990.11,C204603164,126172.1,128162.21,C940567494,404987.55,402997.44,0,0
592,CASH_OUT,4984.04,C715279158,9896.9,4912.86,C475959684,212278.63,217262.67,0,0
690,CASH_IN,22800.72,C442514039,140203.51,163004.23,C226813468,478728.32,455927.6,0,0
599,PAYMENT,1415.76,C570370668,13075.45,11659.69,M550672860,0.0,0.0,0,0
525,PAYMENT,1640.39,C473323087,1931.91,291.52,M466254045,0.0,0.0,0,0
341,CASH_IN,62232.2,C999472047,50746.81,112979.01,C212957473,8350.6,0.0,0,0
191,PAYMENT,1478.63,C468070275,7973.95,6495.32,M593240389,0.0,0.0,0,0
497,CASH_OUT,40106.24,C639533768,81723.23,41616.99,C120178538,280992.2,321098.44,0,0
371,DEBIT,7221.38,C158825349,9144.01,1922.63,C191452729,5555.13,12776.51,0,0
75,CASH_OUT,38817.41,C916108594,71859.97,33042.56,C534862775,60758.69,99576.1,0,0
336,CASH_OUT,59017.84,C260760553,75623.2,16605.36,C396436681,95192.05,154209.89,0,0
340,PAYMENT,3272.88,C693048052,5064.63,1791.75,M453473479,0.0,0.0,0,0
188,CASH_IN,4998.98,C932647377,10694.56,15693.54,C361369793,255147.63,250148.65,0,0
593,PAYMENT,1284.71,C832754253,17819.87,16535.16,M467679110,0.0,0.0,0,0
61,CASH_IN,11657.82,C965760642,100078.79,111736.61,C519347260,437004.1,425346.28,0,0
329,CASH_IN,17981.04,C954623350,23243.59,41224.63,C508996732,211743.1,193762.06,0,0
495,CASH_IN,4192.06,C668543566,89659.92,93851.98,C676420775,35449.94,31257.88,0,0
558,CASH_IN,50121.28,C740742899,72355.74,122477.02,C772843363,402354.47,352233.19,0,0
318,PAYMENT,1117.75,C909824576,15568.68,14450.93,M811538809,0.0,0.0,0,0
99,TRANSFER,21320.57,C787312181,149358.78,128038.21,C605761624,182962.7,204283.27,0,0
615,CASH_OUT,75219.8,C847520642,149541.36,74321.56,C550615020,108505.88,183725.68,0,0
599,CASH_OUT,86503.06,C103346436,92384.27,5881.21,C191034635,164324.06,250827.12,0,0
150,PAYMENT,2510.09,C564991239,25630.92,23120.83,M915922139,0.0,0.0,0,0
640,CASH_IN,18103.23,C567248576,102092.73,120195.96,C429798002,297315.59,279212.36,0,0
578,CASH_OUT,28718.67,C348725924,84646.5,55927.83,C675839439,219119.28,247837.95,0,0
169,PAYMENT,308.85,C775247193,1936.28,1627.43,M674424848,0.0,0.0,0,0
663,TRANSFER,57798.9,C570382827,195011.95,137213.05,C244786248,26111.74,83910.64,0,0
67,CASH_OUT,42451.11,C856067621,90316.83,47865.72,C681917994,129059.49,171510.6,0,0
121,PAYMENT,1066.86,C614198842,11702.7,10635.84,M896876697,0.0,0.0,0,0
567,PAYMENT,251.19,C230099734,7170.9,6919.71,M660313940,0.0,0.0,0,0
588,PAYMENT,3987.28,C662252046,17089.78,13102.5,M199358835,0.0,0.0,0,0
295,CASH_IN,17579.66,C885511657,102009.29,119588.95,C165784237,44381.36,26801.7,0,0
367,PAYMENT,2344.87,C563773475,22854.05,20509.18,M491877041,0.0,0.0,0,0
125,CASH_OUT,5438.72,C714794155,26907.78,21469.06,C282870041,132559.9,137998.62,0,0
741,TRANSFER,30207.07,C867941089,145326.05,115118.98,C356483204,51598.27,81805.34,0,0
43,PAYMENT,723.5,C937507741,4624.04,3900.54,M383122689,0.0,0.0,0,0
196,PAYMENT,147.9,C682227353,4953.68,4805.78,M777938866,0.0,0.0,0,0
462,TRANSFER,34430.7,C446752052,130827.78,96397.08,C794850254,198145.06,232575.76,0,0
21,CASH_IN,3199.16,C289948523,2970.14,6169.3,C767999844,21479.69,18280.53,0,0
562,PAYMENT,605.48,C625908098,3635.91,3030.43,M493440082,0.0,0.0,0,0
645,PAYMENT,1733.88,C835300325,8649.11,6915.23,M997480882,0.0,0.0,0,0
589,PAYMENT,368.25,C848616971,2760.77,2392.52,M577224762,0.0,0.0,0,0
483,PAYMENT,255.38,C700388561,5461.1,5205.72,M270376601,0.0,0.0,0,0
356,TRANSFER,16679.64,C956680265,45353.68,28674.04,C657811335,54316.44,70996.08,0,0
102,PAYMENT,58.76,C961627721,4000.25,3941.49,M125821340,0.0,0.0,0,0
702,CASH_OUT,6520.85,C999367381,25714.53,19193.68,C320473819,59307.37,65828.22,0,0
679,TRANSFER,30482.35,C956601239,121353.48,90871.13,C361284608,21224.27,51706.62,0,0
91,PAYMENT,3964.45,C925144903,39675.19,35710.74,M762630815,0.0,0.0,0,0
96,PAYMENT,3546.26,C292242639,10807.49,7261.23,M332815480,0.0,0.0,0,0
529,PAYMENT,2228.23,C646684841,2026.34,0.0,M392992099,0.0,0.0,0,0
492,CASH_OUT,5516.2,C118560150,30592.35,25076.15,C447193021,101180.65,106696.85,0,0
317,CASH_IN,3982.62,C285973183,191835.21,195817.83,C849216484,163394.55,159411.93,0,0
286,PAYMENT,3696.99,C699240979,30130.11,26433.12,M419561201,0.0,0.0,0,0
206,CASH_OUT,1921.36,C887452136,6081.28,4159.92,C539820960,289293.44,291214.8,0,0
636,CASH_IN,37931.67,C587141470,43672.95,81604.62,C195546420,454251.43,416319.76,0,0
194,CASH_IN,14105.92,C968549104,75201.29,89307.21,C840332201,251486.58,237380.66,0,0
588,CASH_IN,49747.31,C217741571,127342.67,177089.98,C520987403,49815.8,68.49,0,0
383,PAYMENT,2287.06,C711560372,14447.96,12160.9,M847344706,0.0,0.0,0,0
124,CASH_OUT,5368.6,C425340309,18370.57,13001.97,C135256735,38465.72,43834.32,0,0
377,PAYMENT,4160.61,C950312080,10574.39,6413.78,M111306913,0.0,0.0,0,0
258,CASH_OUT,91743.54,C606924290,238280.74,146537.2,C454525036,257194.89,348938.43,0,0
261,TRANSFER,134896.7,C529058846,529032.68,394135.98,C946299179,38986.9,173883.6,0,0
509,PAYMENT,944.83,C864233937,3030.13,2085.3,M351390149,0.0,0.0,0,0
194,PAYMENT,1644.22,C401491749,16430.03,14785.81,M266428006,0.0,0.0,0,0
173,CASH_IN,16354.65,C569957464,23462.89,39817.54,C937216463,387285.13,370930.48,0,0
258,TRANSFER,8737.51,C951531485,91282.25,82544.74,C581543132,8512.44,17249.95,0,0
468,CASH_OUT,65458.07,C185630733,162624.08,97166.01,C516099970,46925.38,112383.45,0,0
31,TRANSFER,6874.14,C809220826,47906.94,41032.8,C591390731,117993.46,124867.6,0,0
261,PAYMENT,1491.81,C228349766,12554.41,11062.6,M119801002,0.0,0.0,0,0
446,CASH_OUT,25417.47,C576583771,65784.6,40367.13,C842095037,209458.11,234875.58,0,0
276,PAYMENT,986.29,C210534015,9356.64,8370.35,M630337110,0.0,0.0,0,0
186,CASH_IN,16541.56,C869853840,31671.57,48213.13,C116003734,162622.86,146081.3,0,0
461,CASH_IN,16820.45,C983921699,54819.13,71639.58,C255887560,440702.05,423881.6,0,0
743,CASH_OUT,14641.85,C633300772,36706.73,22064.88,C139282106,287312.54,301954.39,0,0
617,PAYMENT,562.78,C247264642,9679.93,9117.15,M750697159,0.0,0.0,0,0
87,CASH_OUT,37343.29,C688470650,60579.59,23236.3,C536752101,232961.87,270305.16,0,0
356,PAYMENT,192.48,C340269869,3106.49,2914.01,M553610350,0.0,0.0,0,0
549,CASH_IN,1112.25,C122461102,93531.32,94643.57,C368308305,205209.42,204097.17,0,0
499,DEBIT,2495.0,C621013214,15877.86,13382.86,C488349667,35644.65,38139.65,0,0
429,CASH_OUT,3078.99,C228726504,6986.17,3907.18,C778781177,189187.73,192266.72,0,0
560,PAYMENT,2119.67,C257700676,26148.38,24028.71,M869711410,0.0,0.0,0,0
633,TRANSFER,16058.24,C159224870,52366.95,36308.71,C790797232,162247.39,178305.63,0,0
646,CASH_OUT,50273.64,C730104232,143254.73,92981.09,C848470030,236466.0,286739.64,0,0
518,CASH_OUT,65158.24,C956320352,162937.13,97778.89,C386752725,206826.66,271984.9,0,0
265,CASH_OUT,187073.18,C955673874,252828.38,65755.2,C947729858,211670.37,398743.55,0,0
657,CASH_OUT,76021.59,C738131288,76929.09,907.5,C539756451,62195.32,138216.91,0,0
578,CASH_IN,5644.68,C163062582,108891.27,114535.95,C385127163,370458.8,364814.12,0,0
130,CASH_IN,14174.71,C752098812,183168.08,197342.79,C362707859,22110.0,7935.29,0,0
625,PAYMENT,1816.13,C297029809,15397.0,13580.87,M600915194,0.0,0.0,0,0
483,PAYMENT,4236.89,C309533152,3894.87,0.0,M990176757,0.0,0.0,0,0
449,CASH_OUT,104442.22,C576541388,190201.56,85759.34,C177021463,271792.87,376235.09,0,0
15,PAYMENT,2286.42,C457176868,2236.84,0.0,M273786838,0.0,0.0,0,0
266,CASH_OUT,27742.88,C299820519,49159.94,21417.06,C521372092,153649.95,181392.83,0,0
81,CASH_IN,3456.0,C841142269,42680.94,46136.94,C988935156,467580.24,464124.24,0,0
75,CASH_IN,9114.34,C157495393,69692.01,78806.35,C786018224,30961.98,21847.64,0,0
1,PAYMENT,1625.33,C815021371,11628.65,10003.32,M917928251,0.0,0.0,0,0
738,PAYMENT,1553.07,C348717647,3202.49,1649.42,M687578426,0.0,0.0,0,0
347,CASH_OUT,22153.72,C129709050,84267.56,62113.84,C816842133,247994.96,270148.68,0,0
259,CASH_OUT,20170.84,C432149914,48870.75,28699.91,C590802884,57441.04,77611.88,0,0
276,CASH_IN,127970.98,C975499305,163086.61,291057.59,C893120166,9128.81,0.0,0,0
650,PAYMENT,3457.23,C748880076,30232.02,26774.79,M432339467,0.0,0.0,0,0
328,CASH_IN,37979.09,C527626716,111445.78,149424.87,C459109734,30839.96,0.0,0,0
458,CASH_OUT,19433.36,C428622430,32760.96,13327.6,C500492027,210018.25,229451.61,0,0
167,PAYMENT,2409.32,C146880665,26233.01,23823.69,M186182543,0.0,0.0,0,0
